title,directedBy,starring,avgRating,imdbId,item_id,votos,labels,metadata
Toy Story (1995),['johnlasseter'],"['timallen', 'tomhanks', 'donrickles']",3.89146,tt0114709,1,68884.0,"['pg-13', 'disney', 'original', 'goodsoundtrack', 'excellentscript', 'cute', 'unlikelyfriendships', 'oscarwinner', 'children', 'toys']",johnlasseter timallen tomhanks donricklespg-13 disney original goodsoundtrack excellentscript cute unlikelyfriendships oscarwinner children toys
Jumanji (1995),['joejohnston'],"['jonathanhyde', 'bradleypierce', 'robinwilliams']",3.26605,tt0113497,2,27416.0,"['pg-13', 'books', 'original', 'lions', 'adaptedfrom:book', 'children', 'teens', 'fantasyworld', 'good', 'basedonbook']",joejohnston jonathanhyde bradleypierce robinwilliamspg-13 books original lions adaptedfrom:book children teens fantasyworld good basedonbook
Grumpier Old Men (1995),['howarddeutch'],"['jacklemmon', 'waltermatthau', 'ann-margret']",3.17146,tt0113228,3,15615.0,"['sequels', 'pg-13', 'original', 'goodsoundtrack', 'comedy', 'feel-good', 'sequel', 'catastrophe', 'creativity', 'funniestmovies']",howarddeutch jacklemmon waltermatthau ann-margretsequels pg-13 original goodsoundtrack comedy feel-good sequel catastrophe creativity funniestmovies
Waiting to Exhale (1995),['forestwhitaker'],"['angelabassett', 'lorettadevine', 'whitneyhouston']",2.86824,tt0114885,4,2992.0,"['pg-13', 'unlikelyfriendships', 'romantic', 'cancer', 'lovestory', 'divorce', 'women', 'happyending', 'catastrophe', 'revenge']",forestwhitaker angelabassett lorettadevine whitneyhoustonpg-13 unlikelyfriendships romantic cancer lovestory divorce women happyending catastrophe revenge
Father of the Bride Part II (1995),['charlesshyer'],"['stevemartin', 'martinshort', 'dianekeaton']",3.0762,tt0113041,5,15507.0,"['sequels', 'pg-13', 'original', 'pregnancy', 'good', 'remake', 'lovestory', 'wedding', 'sequel', 'catastrophe']",charlesshyer stevemartin martinshort dianekeatonsequels pg-13 original pregnancy good remake lovestory wedding sequel catastrophe
Heat (1995),['michaelmann'],"['robertdeniro', 'alpacino', 'valkilmer']",3.85549,tt0113277,6,28956.0,"['realisticaction', 'ensemblecast', 'pg-13', 'original', 'dramatic', 'cars', 'greatsoundtrack', 'goodsoundtrack', 'bankrobbery', 'heist']",michaelmann robertdeniro alpacino valkilmerrealisticaction ensemblecast pg-13 original dramatic cars greatsoundtrack goodsoundtrack bankrobbery heist
Sabrina (1995),['sydneypollack'],"['harrisonford', 'gregkinnear', 'nancymarchand']",3.37244,tt0114319,7,15336.0,"['pg-13', 'original', 'romantic', 'good', 'remake', 'lovestory', 'love', 'basedonaplay', 'relationships', 'catastrophe']",sydneypollack harrisonford gregkinnear nancymarchandpg-13 original romantic good remake lovestory love basedonaplay relationships catastrophe
Tom and Huck (1995),['peterhewitt'],"['jonathantaylorthomas', 'bradrenfro', 'ericschweig']",3.11678,tt0112302,8,1542.0,"['disney', 'adaptation', 'adaptedfrom:book', 'basedonabook', 'catastrophe', 'childhood', 'creativity']",peterhewitt jonathantaylorthomas bradrenfro ericschweigdisney adaptation adaptedfrom:book basedonabook catastrophe childhood creativity
Sudden Death (1995),['peterhyams'],"['raymondj.barry', 'powersboothe', 'jean-claudevandamme']",3.00242,tt0114576,9,4476.0,"['fightscenes', 'basedonavideogame', 'surveillance', 'explosions', 'actionpacked', 'catastrophe', 'gunfight', 'lonehero', 'armsdealer', 'goodaction']",peterhyams raymondj.barry powersboothe jean-claudevandammefightscenes basedonavideogame surveillance explosions actionpacked catastrophe gunfight lonehero armsdealer goodaction
GoldenEye (1995),['martincampbell'],"['piercebrosnan', 'seanbean', 'famkejanssen']",3.4334,tt0113189,10,33239.0,"['realisticaction', 'assassination', 'pg-13', 'latinamerica', 'original', 'secrets', 'spy', 'chase', 'secretservice', 'jamesbond']",martincampbell piercebrosnan seanbean famkejanssenrealisticaction assassination pg-13 latinamerica original secrets spy chase secretservice jamesbond
"American President, The (1995)",['robreiner'],"['michaeldouglas', 'michaelj.fox', 'martinsheen']",3.66058,tt0112346,11,19724.0,"['president', 'pg-13', 'original', 'romantic', 'good', 'drama', 'lovestory', 'love', 'politics', 'catastrophe']",robreiner michaeldouglas michaelj.fox martinsheenpresident pg-13 original romantic good drama lovestory love politics catastrophe
Dracula: Dead and Loving It (1995),['melbrooks'],"['petermacnicol', 'leslienielsen', 'stevenweber']",2.67668,tt0112896,12,4545.0,"['original', 'funny', 'vampire', 'parody', 'sillyfun', 'hilarious', 'spoof']",melbrooks petermacnicol leslienielsen stevenweberoriginal funny vampire parody sillyfun hilarious spoof
